,#,team,gp,w,l,win%,min,pts,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,+/-,season
704,20,Minnesota Timberwolves,39,18,21,0.462,48.1,114.6,42.4,86.5,49.0,11.1,32.3,34.2,18.8,24.3,77.4,9.1,32.7,41.9,25.4,15.8,8.2,5.3,3.9,22.1,20.8,-0.9,'22-23
705,21,Chicago Bulls,38,17,21,0.447,48.7,114.5,42.6,87.4,48.7,10.5,28.5,36.8,18.9,22.9,82.3,8.6,33.6,42.2,24.3,14.0,7.7,4.8,5.3,20.0,19.3,-1.0,'22-23
706,21,Los Angeles Lakers,38,17,21,0.447,48.4,116.0,42.8,88.7,48.2,10.3,30.7,33.7,20.1,25.3,79.6,9.3,35.7,45.0,24.9,14.8,6.6,4.8,4.9,18.5,21.1,-1.4,'22-23
707,23,Washington Wizards,39,17,22,0.436,48.3,112.1,41.9,87.0,48.1,10.8,31.5,34.4,17.6,22.8,77.1,9.3,34.6,43.9,25.0,13.9,6.9,5.6,4.4,19.3,19.3,-0.6,'22-23
708,24,Oklahoma City Thunder,38,16,22,0.421,48.8,116.1,42.8,92.9,46.1,11.9,33.8,35.3,18.5,23.3,79.3,11.5,32.8,44.3,24.0,14.3,8.2,5.1,5.6,21.7,20.0,-1.0,'22-23
709,24,Toronto Raptors,38,16,22,0.421,48.4,111.1,40.5,90.4,44.7,10.5,32.5,32.4,19.6,24.7,79.4,12.4,30.0,42.4,22.7,12.3,9.4,5.1,4.5,20.6,20.9,-0.2,'22-23
710,26,Orlando Magic,38,14,24,0.368,48.3,110.2,39.8,84.9,46.8,10.6,30.8,34.4,20.0,25.1,79.7,10.2,33.2,43.4,22.2,15.7,6.7,4.9,5.1,20.9,20.2,-3.8,'22-23
711,27,San Antonio Spurs,38,12,26,0.316,48.1,111.7,42.6,90.4,47.1,11.1,32.1,34.6,15.5,21.2,73.1,12.0,30.6,42.6,27.0,16.0,7.0,4.2,4.3,20.1,19.1,-9.2,'22-23
712,28,Detroit Pistons,41,11,30,0.268,48.4,111.8,39.4,87.6,45.0,11.7,33.0,35.5,21.3,27.6,77.3,11.3,31.9,43.1,22.3,14.7,6.9,3.6,5.9,22.3,22.0,-7.1,'22-23
713,29,Houston Rockets,38,10,28,0.263,48.3,109.3,39.1,88.0,44.4,11.6,35.0,33.0,19.6,25.6,76.7,13.2,33.7,46.9,21.7,16.9,7.6,4.6,6.0,20.7,21.8,-6.5,'22-23
714,30,Charlotte Hornets,39,10,29,0.256,48.8,111.3,41.5,93.4,44.4,10.7,33.4,32.1,17.6,23.5,74.7,12.6,33.1,45.7,25.0,14.1,7.9,5.1,6.4,21.4,20.9,-7.2,'22-23
